Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00206-7501;123 BAXTER STREET;CHINATOWN;R4-CONDOMINIUM;23;2003;2023.695652;34.97;5.93;-2677.761502;10001002;214.87
1-00208-7501;129 LAFAYETTE STREET;CHINATOWN;R4-CONDOMINIUM;27;1900;2616.62963;41.84;18.17;-2112.295451;11110005;157.26
1-00211-7501;7 LISPENARD STREET;TRIBECA;R4-CONDOMINIUM;9;1915;1780.888889;24.8;10.5;-3164.271199;1669000;104.13
1-00212-7501;260 WEST BROADWAY;TRIBECA;R4-CONDOMINIUM;50;1915;2452.8;31.97;11.5;-2341.542717;18715001;152.6
1-00212-7503;1 YORK STREET;TRIBECA;R4-CONDOMINIUM;34;1890;1983.852941;31.97;10.15;-2949.541477;10971998;162.67
1-00214-7502;145 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;10;1929;4625;39.17;10;-1288.557209;9988004;215.96
1-00214-7503;7 HUBERT STREET;TRIBECA;R4-CONDOMINIUM;35;2004;3965.657143;34.84;11.92;-1530.061079;23452969;168.97
1-00215-7502;161 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;24;1930;2768.5;30.76;11;-2230.745242;9813002;147.69
1-00215-7504;415 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;66;1913;2351.833333;36.03;11.91;-2671.932008;27619994;177.94
1-00215-7505;157 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;15;1920;3880.866667;34.55;9.16;-1647.070066;10946001;188.03
1-00217-7501;79 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;33;1853;3057.393939;29.55;9.17;-2126.052449;15416001;152.79
1-00217-7502;408 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;4;2007;4296.25;39.44;10.44;-1538.155468;3773000;219.55
1-00218-7501;92 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;65;2004;2509.661538;37.74;11.46;-2676.225811;32454998;198.95
1-00219-7501;429 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;28;1920;3174.892857;30.76;11.53;-2149.534441;12775996;143.72
1-00219-7502;39 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;16;1930;2361.5625;29.55;11;-2935.625078;4905998;129.84
1-00219-7503;35 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;6;1915;2733.333333;28.11;9.98;-2575.896094;2147000;130.91
1-00219-7504;169 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;12;1915;4303.916667;29.55;9.17;-1661.022683;7891000;152.79
1-00220-7502;28 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;31;1920;3062.064516;31.97;10.15;-2369.977422;15440998;162.67
1-00220-7503;38 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;33;1900;2219.909091;26.5;7.99;-3317.768441;8843984;120.73
1-00222-7501;28 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;20;1962;1821.75;30.76;9.66;-4102.245029;5745997;157.71
1-00222-7502;195 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;27;1920;3277.62963;31.97;10.15;-2313.069594;14395002;162.66
1-00225-7501;465 GREENWICH STREET;TRIBECA;R9-CONDOMINIUM;38;1910;1945.236842;28.11;9.98;-3952.992164;9646000;130.49
1-00225-7502;16 DESBROSSES STREET;TRIBECA;R4-CONDOMINIUM;8;1940;3007.375;27.65;10.8;-2592.834798;2926000;121.62
1-00228-7501;3 WOOSTER STREET;SOHO;R4-CONDOMINIUM;11;2003;2300;36.76;12.29;-3437.281351;4560000;180.24
1-00228-7502;311 WEST BROADWAY;SOHO;R4-CONDOMINIUM;67;2007;2183.492537;40.83;14;-3670.206116;29647996;202.66
1-00230-7503;20 GREENE STREET;SOHO;R4-CONDOMINIUM;10;1915;3033.1;32.77;11.51;-2677.784517;4802001;158.32
1-00230-7506;25 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1920;1763.2;28.2;9.6;-4667.71142;2366000;134.19
1-00231-7501;443 BROADWAY;SOHO;R4-CONDOMINIUM;16;1910;2790.8125;28.2;9.6;-2987.742578;5698005;127.61
1-00234-7501;161 GRAND STREET;CHINATOWN;R4-CONDOMINIUM;18;1911;2508.222222;31.31;11.53;-3367.464739;6665999;147.65
1-00235-7501;136 BAXTER STREET;CHINATOWN;R4-CONDOMINIUM;12;1915;2364.166667;31.31;8.11;-3618.387217;4432999;156.26
1-00236-7501;173 GRAND STREET;CHINATOWN;R4-CONDOMINIUM;39;1990;661.1794872;30.83;10;-13101.72377;4013995;155.67
1-00236-7502;145 MULBERRY STREET;CHINATOWN;RR-CONDOMINIUM;25;1915;1076.28;30.69;6.47;-8149.098338;4871000;181.03
1-00238-7503;87 ELIZABETH STREET;CHINATOWN;R4-CONDOMINIUM;18;1899;820.9444444;27.17;9.77;-10815.3873;1854996;125.53
1-00239-7501;80 ELIZABETH STREET;CHINATOWN;R4-CONDOMINIUM;80;1929;1074.45;27.17;10.9;-8364.23535;10091999;117.41
1-00273-7501;142 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;13;1912;1507.461538;27.65;10.8;-6033.370006;2320995;118.44
1-00273-7502;30 RUTGERS STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;2005;757.6;32.96;11.23;-12147.82707;1225000;161.69
1-00274-7501;48 MARKET STREET;LOWER EAST SIDE;R4-CONDOMINIUM;26;1990;1040.230769;25.04;11.29;-8951.200655;2701000;99.87
